GSM794865	serous ovarian cancer 10d
GSM794866	serous ovarian cancer 11d
GSM794867	serous ovarian cancer 115d
GSM794868	serous ovarian cancer 116d
GSM794869	serous ovarian cancer 117d
GSM794870	serous ovarian cancer 119d
GSM794871	serous ovarian cancer 12d
GSM794872	serous ovarian cancer 120d
GSM794873	serous ovarian cancer 122d
GSM794874	serous ovarian cancer 123d
GSM794875	serous ovarian cancer 125Rd
GSM794876	serous ovarian cancer 129d
GSM794877	serous ovarian cancer 130d
GSM794878	serous ovarian cancer 132d
GSM794879	serous ovarian cancer 134d
GSM794880	serous ovarian cancer 139d
GSM794881	serous ovarian cancer 140d
GSM794882	serous ovarian cancer 143d
GSM794883	serous ovarian cancer 144d
GSM794884	serous ovarian cancer 145d
GSM794885	serous ovarian cancer 146d
GSM794886	serous ovarian cancer 148d
GSM794887	serous ovarian cancer 15d
GSM794888	serous ovarian cancer 150d
GSM794889	serous ovarian cancer 155d
GSM794890	serous ovarian cancer 156d
GSM794891	serous ovarian cancer 16d
GSM794892	serous ovarian cancer 160d
GSM794893	serous ovarian cancer 17d
GSM794894	serous ovarian cancer 171d
GSM794895	serous ovarian cancer 173d
GSM794896	serous ovarian cancer 174d
GSM794897	serous ovarian cancer 178d
GSM794898	serous ovarian cancer 18d
GSM794899	serous ovarian cancer 183d
GSM794900	serous ovarian cancer 184d
GSM794901	serous ovarian cancer 185d
GSM794902	serous ovarian cancer 186d
GSM794903	serous ovarian cancer 2d
GSM794904	serous ovarian cancer 20d
GSM794905	serous ovarian cancer 22d
GSM794906	serous ovarian cancer 23d
GSM794907	serous ovarian cancer 249d
GSM794908	serous ovarian cancer 25d
GSM794909	serous ovarian cancer 257d
GSM794910	serous ovarian cancer 260d
GSM794911	serous ovarian cancer 262d
GSM794912	serous ovarian cancer 264d
GSM794913	serous ovarian cancer 266d
GSM794914	serous ovarian cancer 267d
GSM794915	serous ovarian cancer 268d
GSM794916	serous ovarian cancer 269d
GSM794917	serous ovarian cancer 27d
GSM794918	serous ovarian cancer 299d
GSM794919	serous ovarian cancer 300d
GSM794920	serous ovarian cancer 301d
GSM794921	serous ovarian cancer 302d
GSM794922	serous ovarian cancer 303d
GSM794923	serous ovarian cancer 304d
GSM794924	serous ovarian cancer 305d2
GSM794925	serous ovarian cancer 306d
GSM794926	serous ovarian cancer 307d
GSM794927	serous ovarian cancer 310d
GSM794928	serous ovarian cancer 318d
GSM794929	serous ovarian cancer 319d
GSM794930	serous ovarian cancer 320d2
GSM794931	serous ovarian cancer 323d
GSM794932	serous ovarian cancer 327d
