"","Feature","Beta","P.Value"
"1","CCL13.1",-0.178730122885703,5.25693495221715e-05
"2","CCL13",-0.170725717058244,5.46286358839012e-05
"3","CD3D",-0.146035747154921,0.000830254263337546
"4","CXCL1",-0.135233784691126,0.0013120133657344
"5","LHX2",-0.134794889803441,0.0100738859472061
"6","CXCL3",-0.134069111994909,0.00414405758467439
"7","GNLY",-0.133052551124724,0.0048407772152781
"8","CCL7",-0.130401100301161,0.00542805517405035
"9","DNAH11.2",-0.128870781375193,0.00515315137006481
"10","IL8",-0.127471105645212,0.00207730032002235
"11","FOXJ1",-0.126790994113278,0.00312617945639461
"12","KIAA1324L",0.126575658970825,0.01477573693016
"13","LOC100653245",-0.123900650184999,0.0232583796349924
"14","PITX1",-0.120309908691953,0.00742958621338952
"15","CXCL9",-0.118497413284951,0.00135169398243923
"16","IDO1",-0.117607796248918,0.00510782074130187
"17","LOC643355",-0.117480213223614,0.0116764911649416
"18","IL7R.1",-0.116503011886352,0.00869205802343374
"19","CD1C",-0.116283559893984,0.0214458280691621
"20","VWA3A",-0.113405474321047,0.00689335191523805
"21","CHI3L2",-0.113342372728106,0.0124121940285188
"22","GUCY1B2",0.112350874010468,0.0117383491888469
"23","FAM153B.1",-0.112310231073406,0.00867581442201469
"24","GNGT1",0.112125401332532,0.0174550857613275
"25","VNN3",-0.111982211370065,0.0182034734487133
"26","FOXA2.1",-0.111256940532443,0.00818866318429253
"27","GZMK",-0.10817275505773,0.00937753022806574
"28","SAA4",-0.107518082028207,0.0126876706633942
"29","FAM153A.2",-0.106106141776096,0.00839020872197694
"30","CCDC135",-0.106043947425383,0.0198163460808919
"31","PRRX1",0.105819864681766,0.0200669037571535
"32","CAMP",-0.105741433968807,0.0210418438543412
"33","CCDC19",-0.105529371405199,0.0256229431766796
"34","LOC100507387",-0.105293379644379,0.013223402156269
"35","SGCG",0.105124859008249,0.0178540337442396
"36","LOC645249",-0.105051790797393,0.053356203030542
"37","SLCO6A1",0.104591866689745,0.0156239757698778
"38","CXCL13",-0.104521159159906,0.00595478185795685
"39","CCL20",-0.104236722820593,0.00872005938828752
"40","GAS2L2.1",-0.103256264949336,0.0395691440519871
"41","SERPINI2",-0.101563732291291,0.0331088959437587
"42","LOC100505944",-0.10139474452301,0.0210740394940033
"43","CCDC164",-0.101233565702539,0.01693324678685
"44","AADAC",-0.100969896756084,0.0212193784989716
"45","SAA2",-0.100961263108923,0.0101633321452337
"46","PIGR",-0.10023840133676,0.047132494307533
"47","CXCL10",-0.099600989882816,0.0086069975354703
"48","GRP",0.0992346277518363,0.00818293489290603
"49","DEFB126",0.0987406436495585,0.0180560502380172
"50","HIF3A.2",0.098470300740573,0.0192756616448042
"51","C1orf192",-0.0981271733610252,0.0277572030791838
"52","GNGT1.1",0.0977366100011269,0.0251061238319468
"53","TRIM63",0.0972848639346151,0.0361699073835677
"54","VNN1",-0.0969922514899818,0.0244149807489197
"55","CHRDL2",-0.0968066592393755,0.0471604573360697
"56","KIF5A.2",0.0967806072741258,0.0307350907949068
"57","TSPAN7",0.0966675961400409,0.025534988104704
"58","DACH1",0.0962759303086131,0.0293381398475518
"59","CXCL2",-0.0949919409758043,0.0245203196601099
"60","FOXA2",-0.0942778003780054,0.0128524672614691
"61","C2orf88.1",-0.0940183472219322,0.0194411238787047
"62","SLC28A2",-0.093938756000692,0.0525573037070031
"63","ISM1",0.0936916785748767,0.0576250234093968
"64","FGFBP1",-0.0934945668926238,0.0380722292116081
"65","RBM22.1",0.0932168726274016,0.0337556784019331
"66","CXCL11.1",-0.0919566052558047,0.0229089894155666
"67","B3GAT1",-0.0916363478257951,0.0269957797408954
"68","IDO2",-0.0915367147412558,0.0575546919966162
"69","S100B",-0.091248729771557,0.0606263881046318
"70","LOC100129858",0.0911596929204146,0.0269726322842199
"71","IRF4.1",-0.0911219184591439,0.0465276640061247
"72","CLDN6",0.0905054332048335,0.0210560168658804
"73","PDE11A.2",0.0903559874672971,0.0482865125732929
"74","C3",-0.0903131943957596,0.0294438783838291
"75","AREG",-0.0902593555987748,0.0501528802065531
"76","MMP3",-0.0900887930055735,0.0384445559371772
"77","FUT3",0.0900034172579217,0.0701843628958918
"78","OOEP",0.0898615218786431,0.0119931400373506
"79","WDR69",-0.0893428981544944,0.034754703540126
"80","FAM153B",-0.0885884291134964,0.0310072002062556
"81","LYZ",-0.0880934681523508,0.0706058565889156
"82","PDZK1IP1.1",-0.0879283497880651,0.0196344350373673
"83","CXCL11",-0.0878871168087855,0.0194894161304752
"84","KCNIP1",0.0878435807766418,0.0670270523092954
"85","CD1A",-0.0865007573242953,0.0744936251029741
"86","PTCHD1",-0.0864766738079108,0.0708704453405664
"87","NKAIN2.1",0.0863390757664003,0.0534428098125895
"88","`XAGE-4`",0.0861083848966996,0.0373450358322046
"89","WDR33.2",0.0858882818101989,0.0510295656566518
"90","MNX1.1",-0.0852309781197624,0.0499673232378734
"91","MMP12.1",-0.0849646977576081,0.00441931372767846
"92","IGJ",-0.0849553552873673,0.0436397644473295
"93","UBD",-0.0849094263092448,0.0185135899781724
"94","LIX1.1",0.0845100240939403,0.00998737785341303
"95","MMP12",-0.0837624813249094,0.0152399744041531
"96","DNAH12.2",-0.0837621330552918,0.0925895719657266
"97","NR4A3.1",-0.0829049360672616,0.0989412497371495
"98","POU2AF1",-0.0828957687403171,0.045342888241206
"99","CP",-0.0823308383932206,0.0272604605679371
"100","PIP",-0.0817751373467059,0.0871762079261797
"101","CD1A.1",-0.0809083142151328,0.053522928312995
"102","RPRM",0.0808633756835395,0.0537428232700666
"103","SOX2.1",-0.0805879538465266,0.0315021797998571
