"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"ISM1",0.144809953893917,0.00861716099304965,16.8048332868234,2.24944120842507e-63,"ISM1",2.24944120842507e-60
"TRIM63",0.107464311156467,0.00602663304740227,17.8315670310785,4.01994368013446e-71,"TRIM63",4.01994368013446e-68
"SGCG",0.106558245198555,0.00579361566916618,18.3923565668433,1.5126011728607e-75,"SGCG",1.5126011728607e-72
"DES",0.104397222158001,0.00677948501393668,15.3989900329289,1.66245608841798e-53,"DES",1.66245608841798e-50
"GRP",0.100426773946368,0.00594872388338065,16.8820701574227,6.09688275319635e-64,"GRP",6.09688275319635e-61
"COL3A1.2",0.0983554640763806,0.00835943760516801,11.7657991747644,5.85690868899084e-32,"COL3A1.2",5.85690868899084e-29
"VCAN",0.0928387910693265,0.00894710401334307,10.3764068162026,3.17501016181268e-25,"VCAN",3.17501016181268e-22
"MMP11",0.0923153129509307,0.00687146769698296,13.4345844325898,3.79191020704062e-41,"MMP11",3.79191020704062e-38
"RSPO3",0.0897218684384475,0.00511915733842288,17.5266870125327,8.96427525951536e-69,"RSPO3",8.96427525951536e-66
"FABP6",0.0883445162221595,0.00470802621050819,18.7646610855685,1.46931688258835e-78,"FABP6",1.46931688258835e-75
"COL1A1",0.0865356461120298,0.00864076476956618,10.0148133203231,1.31209382025759e-23,"COL1A1",1.31209382025759e-20
"COL3A1",0.0839485657891843,0.00870889204930388,9.63940824090183,5.45012456571033e-22,"COL3A1",5.45012456571033e-19
"COL8A1",0.0832373717797336,0.00789191335745006,10.5471725308738,5.234876757934e-26,"COL8A1",5.234876757934e-23
"COL5A1.1",0.0823328363861695,0.00848067989329325,9.7082825224049,2.77981467132381e-22,"COL5A1.1",2.77981467132381e-19
"VGLL3",0.0813614258852958,0.00817418639922888,9.95345859656088,2.43567958732894e-23,"VGLL3",2.43567958732894e-20
"RSPO3.1",0.0803586579673114,0.00567257072928511,14.1661799918075,1.48353860038923e-45,"RSPO3.1",1.48353860038923e-42
"PRSS21.1",0.0801008977242615,0.00575117845379336,13.9277364400732,4.29760965587745e-44,"PRSS21.1",4.29760965587745e-41
"SLCO6A1",0.0799427923942358,0.0056604648324446,14.1230084031298,2.74038157439994e-45,"SLCO6A1",2.74038157439994e-42
"COL8A1.2",0.078213225877467,0.00759870599028126,10.2929664573813,7.58043123830921e-25,"COL8A1.2",7.58043123830921e-22
"DEFB126",0.0780321063966373,0.00544112059269799,14.3411830462565,1.20975465287108e-46,"DEFB126",1.20975465287108e-43
"DCN",0.0776550788410911,0.00825796672336559,9.40365606237782,5.26993492858757e-21,"DCN",5.26993492858757e-18
"ALPK2",0.0775138959836299,0.00703842618239476,11.0129585755287,3.30953838406053e-28,"ALPK2",3.30953838406053e-25
"C13orf33",0.0773869676176223,0.00767534418932046,10.0825403667629,6.59973499193688e-24,"C13orf33",6.59973499193688e-21
"XAGE1A",0.0763140066305848,0.00559543309447915,13.6386237386846,2.35971883379583e-42,"XAGE1A",2.35971883379583e-39
"PHACTR3",0.0761320345689858,0.00627352402901123,12.1354495841446,6.85325631492299e-34,"PHACTR3",6.85325631492299e-31
"NKX3-2",0.0757733587930235,0.00660161761734361,11.4779987550254,1.70173810123473e-30,"NKX3-2",1.70173810123473e-27
"PTGER3",0.0757036944787773,0.0072965848120435,10.3752229884073,3.21461011117732e-25,"PTGER3",3.21461011117732e-22
"FAP",0.0740663377555745,0.00778561656787508,9.5132270013381,1.84837839355881e-21,"FAP",1.84837839355881e-18
"HIF3A.2",0.073422170372086,0.00575594025445204,12.7558951494148,2.89035379447558e-37,"HIF3A.2",2.89035379447558e-34
"CYP3A7",0.071332520438548,0.00553792369484687,12.8807337134175,5.7783604516365e-38,"CYP3A7",5.7783604516365e-35
"FUT3",0.0712084630604842,0.0063708688760022,11.177198031608,5.27285681823407e-29,"FUT3",5.27285681823407e-26
"LUM",0.0707454781862611,0.00654285354621123,10.8126336141557,2.99933424844077e-27,"LUM",2.99933424844077e-24
