"","Feature","Beta","P.Value"
"1","LOC338739",3.28367518215758,0.00660714098760902
"2","MAGEB6",3.26401781339252,0.00667721830015649
"3","NAALAD2",3.14845805760606,0.000744902772811632
"4","PRKD1.1",3.11761719922679,0.00110449164346536
"5","NEGR1.2",3.09314439075323,0.00733451296119543
"6","KLHL23.1",2.89961420014842,0.00692147049955426
"7","LRTM1.1",-2.84107676924243,0.0114799680964432
"8","CPEB2.1",2.79319696235799,0.0119690464731927
"9","PPP1R3A",2.73921588071623,0.00127446938930364
"10","PPP1R3A.1",2.73694495057913,0.00436435861584918
"11","`DLGAP1 /// LOC388458`",2.71250829194074,0.0228132189376724
"12","GAD2.2",2.67601164458371,0.0252048520174029
"13","LOC400940.1",2.66522122360421,0.0025192095344728
"14","`SUGT1 /// SUGT1P1`",2.62581447419352,0.0197658793892095
"15","ADAMTSL1",2.59169846585123,4.70276098777363e-07
"16","NETO1.1",2.47072827234931,0.0315343134791962
"17","BHLHB9.1",2.46176051515907,0.0240223727762628
"18","COG6.1",2.46158694323281,0.00443831682152823
"19","ERAP2",2.43611139617949,0.00863509619611888
"20","FAM190B",2.43115634702981,0.0260997225325734
"21","SLC6A2.6",-2.42418781262578,0.0110413404707641
"22","LOC541471",2.42350221009734,0.0422917609134741
"23","SYCP3",2.39612982136883,0.00283342371373965
"24","C8orf71",2.39048746707051,0.00398915514141758
"25","C8orf45",-2.38405819181466,0.00343866787353396
"26","NMBR",2.31485820242545,0.000635909018946541
"27","ZNF80.1",2.30114752353071,0.0449541945874726
"28","BDNFOS",-2.29653199389045,0.0238319625874908
"29","RPS20.1",2.2964595857078,0.00206254091845499
"30","ABCB5.2",2.28520254929032,0.0187703721213567
"31","ANGPT1",2.28308911705375,0.0247832599274022
"32","MYO5A.1",2.26703228632686,0.0231793302370913
"33","RAB3IP",-2.24962455207813,0.0416040956051015
"34","LOC100127950",2.24507158977409,0.0516628046716705
"35","TLL1.1",2.23420613985816,0.0178277751628871
"36","LOC93463",2.22871284637408,0.0143291641635807
"37","CYBB.2",-2.21400264594869,0.0264336700847027
"38","NCRNA00189",-2.19457592299007,0.0677950929633654
"39","LOC441461.1",-2.19054824362979,0.0245168101598718
"40","PDXDC1.4",-2.18611949080535,0.00524846548845017
"41","MTRF1L.1",2.1787326444643,0.0316685346454654
"42","LOC100128176",2.17500489353206,0.0541049065907573
"43","ZNF90",-2.16910196203579,0.0414831922772463
