"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"JMJD1C",0.916836106965648,0.0294576758353612,31.1238439885699,1.1461542056509e-212,"JMJD1C",2.29230841130179e-208
"NCOA3.3",0.860794042111911,0.0288573159122039,29.8293176236768,1.62839422085288e-195,"NCOA3.3",3.25678844170577e-191
"GFRA1.2",0.770316162185095,0.0302505642687336,25.4645220942631,4.87495927485577e-143,"GFRA1.2",9.74991854971153e-139
"TMCC1.3",0.756524429801278,0.0264724834364055,28.5777657248768,1.26965302701562e-179,"TMCC1.3",2.53930605403123e-175
"ABHD13.1",0.743877796722321,0.0278348155187396,26.724725235614,2.42932716732237e-157,"ABHD13.1",4.85865433464475e-153
"RASA1",0.7353029972099,0.0276604352838768,26.5832041203815,1.06166421769214e-155,"RASA1",2.12332843538427e-151
"LSM14A.2",0.733244798831333,0.0254111846787194,28.8551993188019,4.36024900148958e-183,"LSM14A.2",8.72049800297916e-179
"C2orf49.1",0.71945711378248,0.0285167924233591,25.2292439872426,1.91396470608494e-140,"C2orf49.1",3.82792941216988e-136
"SNX24.1",0.703612661547718,0.0273388281776268,25.7367527597079,4.53573357104734e-146,"SNX24.1",9.07146714209468e-142
"ARHGEF7.3",0.70247775339781,0.0262514253118508,26.7596042901597,9.54633539840991e-158,"ARHGEF7.3",1.90926707968198e-153
"MPP5.1",0.701145643376056,0.0257299536512752,27.2501712548288,1.65410507745132e-163,"MPP5.1",3.30821015490265e-159
"ARHGAP33",0.69729316189186,0.0285834215603655,24.3950207437287,1.93147681959595e-131,"ARHGAP33",3.86295363919191e-127
"TMEM167A",0.693305484240528,0.0282404775059785,24.5500623739012,4.3183698479363e-133,"TMEM167A",8.6367396958726e-129
"ADNP",0.692821521738427,0.0296950799350248,23.331188979938,2.13958190580775e-120,"ADNP",4.27916381161549e-116
"RAD17",0.68631395746094,0.0273178974081417,25.1232350428402,2.77235137742817e-139,"RAD17",5.54470275485633e-135
"ERCC5",0.683097130971821,0.0276769365197429,24.6810961352079,1.70691107472855e-134,"ERCC5",3.41382214945711e-130
"MMS19",0.66602288308303,0.0282391447740906,23.5850939683593,5.48184495015166e-123,"MMS19",1.09636899003033e-118
"ARHGEF7.4",0.662121135833873,0.0257863088302084,25.6772359391819,2.09951958672516e-145,"ARHGEF7.4",4.19903917345032e-141
"CWC27.2",0.659075820076822,0.0284296773799126,23.1826696894739,6.81067092275197e-119,"CWC27.2",1.36213418455039e-114
