GSM249714	X60120
GSM249715	X32117
GSM249716	X23066
GSM249717	X60267
GSM249718	X51174
GSM249719	X51068
GSM249720	X23177
GSM249721	X23052
GSM249722	X60170
GSM249723	X70070
GSM249724	X44262
GSM249725	X22027
GSM249726	X70057
GSM249727	X23036
GSM249728	X22002
GSM249729	X70144
GSM249730	X70056
GSM249731	X70055
GSM249732	X95014
GSM249733	X95002
GSM249734	X94099
GSM249735	X94093
GSM249736	X94084
GSM249737	X94082
GSM249738	X94070
GSM249739	X94067
GSM249740	X94056
GSM249741	X94044
GSM249742	X94025
GSM249743	X94019
GSM249744	X93075
GSM249745	X93050
GSM249746	X93031
GSM249747	X93006
GSM249748	X92074
GSM249749	X92071
GSM249750	X92065
GSM249751	X92004
GSM249752	X92003
GSM249753	X86058
GSM249754	X70148
GSM249755	X70135
GSM249756	X70125
GSM249757	X70124
GSM249758	X70123
GSM249759	X70119
GSM249760	X70118
GSM249761	X70115
GSM249762	X70107
GSM249763	X70103
GSM249764	X70102
GSM249765	X70100
GSM249766	X70088
GSM249767	X70086
GSM249768	X70077
GSM249769	X70054
GSM249770	X70049
GSM249771	X70048
GSM249773	X70045
GSM249774	X70039
GSM249775	X70005
GSM249776	X70003
GSM249777	X60318
GSM249778	X60258
GSM249779	X60228
GSM249780	X60214
GSM249781	X60211
GSM249782	X60188
GSM249783	X60181
GSM249784	X60180
GSM249785	X60175
GSM249786	X60174
GSM249788	X60169
GSM249789	X60163
GSM249790	X60148
GSM249791	X60135
GSM249792	X60111
GSM249793	X60107
GSM249794	X60102
GSM249795	X60091
GSM249796	X60090
GSM249797	X60067
GSM249798	X60066
GSM249799	X60065
GSM249800	X60049
GSM249801	X60048
GSM249802	X60024
GSM249803	X60020
GSM249804	X60016
GSM249805	X582
GSM249806	X580
GSM249807	X575
GSM249808	X574
GSM249809	X570
GSM249810	X563
GSM249811	X561
GSM249812	X558
GSM249813	X552
GSM249814	X550
GSM249815	X541
GSM249816	X536
GSM249817	X533
GSM249818	X532
GSM249819	X525
GSM249820	X523
GSM249821	X516
GSM249822	X512
GSM249823	X511
GSM249824	X51171
GSM249825	X51125
GSM249826	X51104
GSM249827	X510
GSM249828	X51093
GSM249829	X51086
GSM249830	X51083
GSM249831	X51080
GSM249832	X51062
GSM249833	X51053
GSM249834	X51016
GSM249835	X51005
GSM249836	X507
GSM249837	X502
GSM249838	X500
GSM249839	X49
GSM249840	X498
GSM249841	X496
GSM249842	X493
GSM249843	X490
GSM249844	X488
GSM249845	X487
GSM249846	X485
GSM249847	X484
GSM249848	X479
GSM249849	X474
GSM249850	X469
GSM249851	X459
GSM249852	X457
GSM249853	X450
GSM249854	X445
GSM249855	X44428
GSM249856	X44417
GSM249857	X44377
GSM249858	X44366
GSM249859	X44349
GSM249860	X44341
GSM249861	X44306
GSM249862	X44303
GSM249863	X44288
GSM249864	X44286
GSM249865	X44285
GSM249866	X44242
GSM249867	X44234
GSM249868	X44219
GSM249869	X44196
GSM249870	X44192
GSM249871	X44189
GSM249872	X44186
GSM249873	X44163
GSM249874	X44110
GSM249875	X44102
GSM249876	X440
GSM249877	X44090
GSM249878	X44087
GSM249879	X44080
GSM249880	X44078
GSM249881	X434
GSM249882	X428
GSM249883	X427
GSM249884	X424
GSM249885	X41358
GSM249886	X41325
GSM249887	X41324
GSM249888	X41310
GSM249889	X41307
GSM249890	X41300
GSM249891	X41285
GSM249892	X41266
GSM249893	X41264
GSM249894	X41203
GSM249895	X41192
GSM249896	X41170
GSM249897	X41165
GSM249898	X41079
GSM249899	X41064
GSM249900	X41023
GSM249901	X41010
GSM249902	X387
GSM249903	X386
GSM249904	X381
GSM249905	X379
GSM249906	X374
GSM249907	X351
GSM249908	X3498
GSM249909	X34801
GSM249910	X34207
GSM249911	X34202
GSM249912	X34186
GSM249913	X34172
GSM249914	X34168
GSM249915	X34165
GSM249916	X34125
GSM249917	X34117
GSM249918	X34113
GSM249919	X34111
GSM249920	X34103
GSM249921	X34102
GSM249922	X34090
GSM249923	X34086
GSM249924	X34085
GSM249925	X34080
GSM249926	X34078
GSM249927	X34066
GSM249928	X34049
GSM249929	X34019
GSM249930	X32103
GSM249931	X32098
GSM249932	X32089
GSM249933	X32055
GSM249934	X32054
GSM249935	X32049
GSM249936	X32048
GSM249937	X32034
GSM249938	X32032
GSM249939	X32022
GSM249940	X32013
GSM249941	X27098
GSM249942	X27006
GSM249943	X261
GSM249944	X26047
GSM249945	X23221
GSM249946	X23213
GSM249947	X23212
GSM249948	X23210
GSM249949	X23204
GSM249950	X23202
GSM249951	X23197
GSM249953	X23187
GSM249954	X23182
GSM249955	X23178
GSM249956	X23172
GSM249957	X23170
GSM249958	X23167
GSM249959	X23165
GSM249960	X23162
GSM249961	X23143
GSM249962	X23139
GSM249963	X23128
GSM249964	X23116
GSM249965	X23106
GSM249966	X23102
GSM249967	X23098
GSM249968	X23084
GSM249969	X23077
GSM249970	X23074
GSM249971	X23070
GSM249972	X23055
GSM249973	X23053
GSM249974	X23043
GSM249975	X23030
GSM249976	X23026
GSM249977	X2227
GSM249978	X2219
GSM249979	X22058
GSM249980	X22057
GSM249981	X22048
GSM249982	X22047
GSM249983	X22046
GSM249984	X22037
GSM249985	X22031
GSM249986	X22029
GSM249987	X22023
GSM249988	X22020
GSM249989	X22013
GSM249990	X22012
GSM249991	X20074
GSM249992	X20046
GSM249993	X20041
GSM249994	X20032
GSM249995	X20031
GSM249996	X20027
GSM249997	X20025
GSM249998	X20019
GSM249999	X152
GSM250000	X146
GSM250001	X129
