GSM249296	EB5011
GSM249524	EB5012
GSM249527	EB5013
GSM249529	EB5014
GSM249530	EB5015
GSM249531	EB5016
GSM249532	EB5017
GSM249533	EB5018
GSM249534	EB5019
GSM249535	EB5020
GSM249536	EB5021
GSM249537	EB5022
GSM249538	EB5023
GSM249539	EB5024
GSM249540	EB5025
GSM249541	EB5026
GSM249542	EB5027
GSM249543	EB5028
GSM249544	EB5029
GSM249545	EB5030
GSM249546	EB5031
GSM249547	EB5032
GSM249548	EB5033
GSM249549	EB5034
GSM249551	EB5035
GSM249552	EB5036
GSM249553	EB5037
GSM249555	EB5038
GSM249556	EB5039
GSM249557	EB5040
GSM249558	EB5041
GSM249559	EB5042
GSM249560	EB5043
GSM249561	EB5044
GSM249563	EB5046
GSM249564	EB5047
GSM249565	EB5048
GSM249566	EB5049
GSM249567	EB5050
GSM249595	EB5051
GSM249596	EB5052
GSM249597	EB5053
GSM249598	EB5054
GSM249599	EB5055
GSM249600	EB5056
GSM249601	EB5057
GSM249602	EB5058
GSM249603	EB5059
GSM249604	ET4051
GSM249605	ET4068
GSM249606	ET4070
GSM249607	ET4072
GSM249608	ET4073
GSM249609	ET4076
GSM249610	ET4082
GSM249611	ET4085
GSM249612	ET4089
GSM249613	ET4091
GSM249614	ET4094
GSM249615	VA4009
GSM249616	VA4148
GSM249617	VA4200
GSM249618	VA4261
GSM249619	VA4496
GSM249620	VA5084
GSM249622	VA5086
GSM249623	VA5284
GSM249624	VA5345
GSM249625	VA5387
GSM249627	VA5678
GSM249628	VA6204
GSM249629	VA6340
GSM249630	VA6349
GSM249631	VA6404
GSM249632	VA6586
GSM249633	VA6603
GSM249634	VA6660
GSM249635	VA7132
GSM249636	VA7278
GSM249637	VA7280
GSM249638	VA7299
GSM249639	VA7376
GSM249640	VB0409
GSM249641	VB0412
GSM249642	VB0416
GSM249643	VB0419
GSM249644	VB0421
GSM249646	VB0431
GSM249647	VB0434
GSM249648	VB0446
GSM249649	VB0449
GSM249650	VB0451
GSM249651	VB0452
GSM249652	VB0463
GSM249653	VB0477
GSM249654	VB0486
GSM249655	VB0488
GSM249657	VB0492
GSM249658	VB0501
GSM249659	VB0507
GSM249663	VB0509
GSM249664	VB0513
GSM249665	VB0526
GSM249666	VB0534
GSM249667	VB0539
GSM249668	VB0541
GSM249669	VB0546
GSM249670	VB1005
GSM249681	VB1010
GSM249682	VB1022
GSM249683	VB1028
GSM249684	VB1034
GSM249685	VB1035
GSM249686	VB1038
GSM249687	VB1042
GSM249688	VB1047
GSM249689	VB1048
GSM249690	VB1049
GSM249691	VB1055
GSM249692	VB1064
GSM249693	VB1067
GSM249694	VB1073
GSM249695	VB1077
GSM249696	VB1088
GSM249697	VB1099
GSM249698	VB1101
GSM249699	VB1122
GSM249700	VB1130
GSM249701	VB1131
GSM249702	VB1140
GSM249704	VB1165
GSM249705	VB1186
GSM249706	VB1191
GSM249707	VB1193
GSM249708	VB1218
GSM249709	VB1225
GSM249710	VB1261
GSM249711	VB1262
GSM249713	VB1264
GSM249772	VB1285
GSM249952	VB1300
GSM250002	VB1307
GSM250004	VB1322
GSM250006	VB1348
GSM250007	VB1356
GSM250009	VB1357
GSM250010	VB1359
GSM250011	VB1361
GSM250012	VB1362
GSM250013	VB1372
GSM250014	VB1390
GSM250015	VB1391
GSM250016	VB1397
GSM250017	VB1409
GSM250018	VB1411
