"K","Replicate","AUC"
5,1,0.204365817940882
5,2,0.21471243394574
5,3,0.230366490518551
5,4,0.242918474181157
5,5,0.203035684527698
5,6,0.193139372274323
5,7,0.241415509301815
5,8,0.206204551254385
5,9,0.192860765647506
5,10,0.211770946243039
5,11,0.198592274820747
5,12,0.196706395017294
5,13,0.21497281849452
5,14,0.180713635213962
5,15,0.177472018826076
5,16,0.182817956413819
5,17,0.201031577162003
5,18,0.18239144499369
5,19,0.193570646138163
5,20,0.192266806751458
20,1,0.199579028916434
20,2,0.210263231332574
20,3,0.188640071089571
20,4,0.225714934752475
20,5,0.202663238618269
20,6,0.201744613387297
20,7,0.210571282546682
20,8,0.204939936804505
20,9,0.175751603432507
20,10,0.192152629389062
20,11,0.205287026144357
20,12,0.1901655967123
20,13,0.213983765439132
20,14,0.207056482504036
20,15,0.222871200613624
20,16,0.21223008575663
20,17,0.197823831315881
20,18,0.189926302296827
20,19,0.214356084652406
20,20,0.184251396499082
100,1,0.194712407311459
100,2,0.221722577160998
100,3,0.181105658969084
100,4,0.193462123061672
100,5,0.226371311038494
100,6,0.205560308438149
100,7,0.190747804103874
100,8,0.181555812364964
100,9,0.170092898501813
100,10,0.182623485313989
100,11,0.187263825403648
100,12,0.203512430582454
100,13,0.208143948296322
100,14,0.207609746919166
100,15,0.206601434563817
100,16,0.19596989971523
100,17,0.204467622753506
100,18,0.202551057082244
100,19,0.197747122268254
100,20,0.192350963754564
199,1,0.193584041254106
199,2,0.237498068540148
199,3,0.181935870032467
199,4,0.220448052133361
199,5,0.199122704690086
199,6,0.225116076990754
199,7,0.19494628528556
199,8,0.208499384849963
199,9,0.180317277817778
199,10,0.180842156646899
199,11,0.205431352228961
199,12,0.206699253068273
199,13,0.205782911326124
199,14,0.200986007717215
199,15,0.208081776926029
199,16,0.200178773723565
199,17,0.19612417423477
199,18,0.223730508221817
199,19,0.202137315481806
199,20,0.186652716303672
200,1,0.202133757917751
200,2,0.20805959752162
200,3,0.1753134564038
200,4,0.214094845772552
200,5,0.190746657586417
200,6,0.210258535543745
200,7,0.188485607632853
200,8,0.200263892023317
200,9,0.196651421192645
200,10,0.185419609923995
200,11,0.239719922424444
200,12,0.196806803222686
200,13,0.208049661706368
200,14,0.206635067068784
200,15,0.202817040165571
200,16,0.197054260346817
200,17,0.205928324853931
200,18,0.232117353307912
200,19,0.198357547801071
200,20,0.190300605157157
