"K","Replicate","AUC"
"5",1,0.28055811411417
"5",2,0.237095792635191
"5",3,0.194984423089988
"5",4,0.180197933245337
"5",5,0.144741907572688
"5",6,0.154538513646444
"5",7,0.159110095632307
"5",8,0.212687862442208
"5",9,0.138345913739167
"5",10,0.143576920810292
"5",11,0.12085542460998
"5",12,0.159677116154756
"5",13,0.175548985949104
"5",14,0.169813875668301
"5",15,0.186246810244307
"5",16,0.201293048391342
"5",17,0.133200898247838
"5",18,0.170757509605458
"5",19,0.174423085500608
"5",20,0.185880828110746
"20",1,0.309841562896134
"20",2,0.274928489243969
"20",3,0.23165870090718
"20",4,0.248669232600214
"20",5,0.176362048240271
"20",6,0.19288866398898
"20",7,0.218856712406101
"20",8,0.224580169129506
"20",9,0.16002058933632
"20",10,0.172190233154709
"20",11,0.141958281960166
"20",12,0.215986195616427
"20",13,0.209409065944206
"20",14,0.206571412704095
"20",15,0.24306979791623
"20",16,0.237303509949199
"20",17,0.18792536191218
"20",18,0.20619540604873
"20",19,0.180042481466755
"20",20,0.254873957714164
"100",1,0.37007885365207
"100",2,0.27235508700027
"100",3,0.267260694549486
"100",4,0.316029890159178
"100",5,0.281675711436196
"100",6,0.250932897039514
"100",7,0.30956614413177
"100",8,0.24822240093283
"100",9,0.181020304309343
"100",10,0.198314289585828
"100",11,0.168600942004974
"100",12,0.299555860609545
"100",13,0.286688835734711
"100",14,0.230846671946329
"100",15,0.318365996519189
"100",16,0.255571729151832
"100",17,0.249982755309778
"100",18,0.291414427375547
"100",19,0.207568127425198
"100",20,0.268135681027688
"199",1,0.367513604771049
"199",2,0.283787493437305
"199",3,0.251485926470685
"199",4,0.364999637109611
"199",5,0.318256824416494
"199",6,0.273384824880739
"199",7,0.324650142500969
"199",8,0.248471842082511
"199",9,0.196474074579305
"199",10,0.195173486646245
"199",11,0.201345409724789
"199",12,0.257478690991524
"199",13,0.314550904317322
"199",14,0.209915717792786
"199",15,0.339052479778913
"199",16,0.249651587725526
"199",17,0.248039799704885
"199",18,0.314240359247374
"199",19,0.216435508480929
"199",20,0.254444363157354
"200",1,0.345376943131728
"200",2,0.266528982715711
"200",3,0.265433818261859
"200",4,0.293789177830971
"200",5,0.249634602519245
"200",6,0.229032817366302
"200",7,0.26973096637961
"200",8,0.258797164282561
"200",9,0.172978573574261
"200",10,0.197722759760233
"200",11,0.158366585080981
"200",12,0.272621977349282
"200",13,0.251930397003332
"200",14,0.220992285666549
"200",15,0.31394239070812
"200",16,0.263209564067518
"200",17,0.221876065605082
"200",18,0.268792883045917
"200",19,0.196970557548277
"200",20,0.266589606179993
