"K","Replicate","AUC"
5,1,0.0997326876784746
20,1,0.0780631813822986
100,1,0.0951776798133246
199,1,0.0970225712201982
200,1,0.0882992965339068
5,2,0.0438525121816777
20,2,0.0859499930407472
100,2,0.127596491160458
199,2,0.0939327664024265
200,2,0.140110452638207
5,3,0.0734621651013945
20,3,0.094152072774475
100,3,0.0928235320552918
199,3,0.0925945902900819
200,3,0.0937033894810694
5,4,0.0740096154302574
20,4,0.0758780496067747
100,4,0.0799498711374723
199,4,0.0793143169959456
200,4,0.0780661814966283
5,5,0.114571659573097
20,5,0.120051890328568
100,5,0.114450620992939
199,5,0.111983664299016
200,5,0.113861388762837
5,6,0.063405118050314
20,6,0.0397035814305808
100,6,0.064406013167142
199,6,0.0641524250924376
200,6,0.0576182234825815
5,7,0.0281534544600092
20,7,0.0634246277798237
100,7,0.0768580513133902
199,7,0.0449235242284181
200,7,0.0738607805407953
5,8,0.0408064750434941
20,8,0.0965911384030396
100,8,0.115089130554747
199,8,0.0788791377309448
200,8,0.100698974733854
5,9,0.0734333579229013
20,9,0.102126035106802
100,9,0.119794185241835
199,9,0.122388916264692
200,9,0.110168265562889
5,10,0.0491214261267297
20,10,0.072723646354895
100,10,0.0682234145087764
199,10,0.0683160174274318
200,10,0.0711651590583637
5,11,0.140133648970426
20,11,0.112594025544267
100,11,0.115186581331106
199,11,0.11190221198694
200,11,0.12168427728217
5,12,0.0752522859309563
20,12,0.0898015025173868
100,12,0.0921502169839413
199,12,0.0872450323059946
200,12,0.0930396830575514
5,13,0.0786821780781851
20,13,0.0282256510575819
100,13,0.038741216685845
199,13,0.0414962834609505
200,13,0.0314816117941298
5,14,0.0283437337875206
20,14,0.068072088906843
100,14,0.0272134533114128
199,14,0.029590880937598
200,14,0.0272954044027248
5,15,0.0285164997395763
20,15,0.0324945296721316
100,15,0.0507217486077344
199,15,0.0885637158587984
200,15,0.0439255590501921
5,16,0.0354093226866059
20,16,0.0702537735829918
100,16,0.0720667167311104
199,16,0.0781854338117983
200,16,0.0728738755093973
5,17,0.0744824351998261
20,17,0.0912880190837368
100,17,0.12137148199707
199,17,0.0886036089886737
200,17,0.124643595854447
5,18,0.0743406476654251
20,18,0.088035735129684
100,18,0.0933053944372075
199,18,0.0998085249884837
200,18,0.0931271689628445
5,19,0.0985831653005788
20,19,0.0941498310416715
100,19,0.0798241522085388
199,19,0.0545967265652808
200,19,0.107132039838187
5,20,0.0457490657489071
20,20,0.0739237286725943
100,20,0.0962859323008814
199,20,0.0983853707667523
200,20,0.0911211137409437
