"K","Replicate","auPRC"
5,1,0.679796634326049
20,1,0.782924983843249
100,1,0.852705195324466
199,1,0.888145487387641
200,1,0.84135401560151
5,2,0.748775199907213
20,2,0.79057303352484
100,2,0.894585012460385
199,2,0.903792287404137
200,2,0.879706690834597
5,3,0.559394697616321
20,3,0.844478645476475
100,3,0.944253398041622
199,3,0.951757385075571
200,3,0.930436547790954
5,4,0.672347033020794
20,4,0.680149812455187
100,4,0.889513158427857
199,4,0.861572203595446
200,4,0.837178324723754
5,5,0.640812177422428
20,5,0.725986862914993
100,5,0.869091820967657
199,5,0.899733344769226
200,5,0.829050817154225
5,6,0.865910570741609
20,6,0.895239575017386
100,6,0.928169855831152
199,6,0.935794767847842
200,6,0.944253398041622
5,7,0.618657102059745
20,7,0.653709360577034
100,7,0.718630451850395
199,7,0.732645387501777
200,7,0.692698963519766
5,8,0.829832745198855
20,8,0.93195891379662
100,8,0.957562764728496
199,8,0.86170296453306
200,8,0.956925151737074
5,9,0.565111721754473
20,9,0.650792549435787
100,9,0.821758183970896
199,9,0.853191860959666
200,9,0.784155876025724
5,10,0.69782711488506
20,10,0.912444597674958
100,10,0.951757385075571
199,10,0.917083408528502
200,10,0.939516471612008
5,11,0.596892213014853
20,11,0.853091082442204
100,11,0.970356811138511
199,11,0.982597724602074
200,11,0.954967512690742
5,12,0.775689754857161
20,12,0.875064051771433
100,12,0.863627683817776
199,12,0.899896928400798
200,12,0.858364111607297
5,13,0.718379927445531
20,13,0.907084841360331
100,13,0.903150798109031
199,13,0.860097389775013
200,13,0.907377475048098
5,14,0.547941997701807
20,14,0.681670011592414
100,14,0.72908717051517
199,14,0.75681533958407
200,14,0.715927288788285
5,15,0.733340008678467
20,15,0.883059665594291
100,15,0.960283369470653
199,15,0.979932930453785
200,15,0.954967512690742
5,16,0.644473363834593
20,16,0.753983125331356
100,16,0.930436547790954
199,16,0.963535688641209
200,16,0.907146022067796
5,17,0.658722799096527
20,17,0.791057861972172
100,17,0.849711182976116
199,17,0.84785223215988
200,17,0.836719074180513
5,18,0.773434830980203
20,18,0.848172716791436
100,18,0.935211232967176
199,18,0.916167041836325
200,18,0.916779406468295
5,19,0.635529828948624
20,19,0.747275438832051
100,19,0.901579364560877
199,19,0.93724685895475
200,19,0.837736651248142
5,20,0.762989617421927
20,20,0.816239966854792
100,20,0.824147426596972
199,20,0.833451223220249
200,20,0.835586650318587
