"method","sim_id","fold","c_index","auprc","mrr","ef_at_1pct","ef_at_5pct","ef_at_10pct","precision_at_1pct","precision_at_5pct","precision_at_10pct","recall_at_1pct","recall_at_5pct","recall_at_10pct","mcc_at_1pct","mcc_at_5pct","mcc_at_10pct","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"sNPDR-absolute",1,1,NA,0.0191201160286673,0.0588235294117647,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,81.32,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,1,NA,0.0236055696332878,0.0108695652173913,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,102.727,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,1,NA,0.0277792046516974,0.0769230769230769,0,6,10,0,0.12,0.2,0,0.3,1,-0.0143576830751316,0.163868381336116,0.428571428571429,51.241,500,1000,0,10,0,0,NA,NA
"Cox",1,1,NA,0.027804020800435,0.0714285714285714,0,1,1.5,0,0.02,0.03,0,0.05,0.15,-0.0143576830751316,0,0.0238095238095238,10.344,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,2,NA,0.0205609029766406,0.142857142857143,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,208.674,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,2,NA,0.0234018994172269,0.0263157894736842,0,1,2,0,0.02,0.04,0,0.05,0.2,-0.0143576830751316,0,0.0476190476190476,174.436,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,2,NA,0.0356690553137804,0.2,5,3,10,0.1,0.06,0.2,0.05,0.15,1,0.0574307323005264,0.0655473525344462,0.428571428571429,47.835,500,1000,0,10,0,0,NA,NA
"Cox",1,2,NA,0.0294064092488178,0.027027027027027,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,11.776,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",1,2,NA,0.02,0.00961538461538462,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,29.2839999999999,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,3,NA,0.0160721250299541,0.0833333333333333,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,110.114,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,3,NA,0.0181486307918927,0.0111111111111111,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,142.565,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,3,NA,0.0246901010535888,0.111111111111111,5,20,10,0.1,0.4,0.2,0.05,1,1,0.0574307323005264,0.622699849077239,0.428571428571429,36.6039999999998,500,1000,0,10,0,0,NA,NA
"Cox",1,3,NA,0.0215406458605347,0.05,0,2,1,0,0.04,0.02,0,0.1,0.1,-0.0143576830751316,0.0327736762672231,0,5.43000000000006,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",1,3,NA,0.0198815881892106,0.0434782608695652,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,14.097,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,4,NA,0.0248719017602119,0.111111111111111,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,215.257,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,4,NA,0.0190917064199832,0.0105263157894737,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,92.4469999999999,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,4,NA,0.0443070900540645,0.5,5,20,10,0.1,0.4,0.2,0.05,1,1,0.0574307323005264,0.622699849077239,0.428571428571429,33.3119999999999,500,1000,0,10,0,0,NA,NA
"Cox",1,4,NA,0.0256104979955817,0.05,0,2,1,0,0.04,0.02,0,0.1,0.1,-0.0143576830751316,0.0327736762672231,0,3.54899999999998,500,1000,0,10,0,0,NA,NA
"SVM",1,4,NA,0.0296697294836218,0.142857142857143,5,2,2,0.1,0.04,0.04,0.05,0.1,0.2,0.0574307323005264,0.0327736762672231,0.0476190476190476,78.1759999999999,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",1,4,NA,0.02,0.0144927536231884,0,0,1.5,0,0,0.03,0,0,0.15,-0.0143576830751316,-0.0327736762672231,0.0238095238095238,49.5939999999998,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,5,NA,0.0269419611321682,0.333333333333333,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,292.162,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,5,NA,0.0229195196970666,0.02,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,112.116,500,1000,0,10,0,0,NA,NA
