"method","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda","mean_mrr","sd_mrr","mean_ef_at_1pct","sd_ef_at_1pct","median_ef_at_1pct","q1_ef_at_1pct","q3_ef_at_1pct","mean_ef_at_5pct","sd_ef_at_5pct","mean_ef_at_10pct","sd_ef_at_10pct","mean_auprc","sd_auprc","mean_runtime","n_sims"
"Cox",500,1000,0,10,0,0,NA,NA,0.0865933016257272,0.125294156280315,1.3,2.20286894275337,0.5,0,1.125,1.265,0.830519811861666,1.16,0.515955934470948,0.0254916751741237,0.010878412288661,7.186915,20
"Cox",500,1000,0,10,0,0.03,NA,NA,0.0624167056280877,0.0515116830254154,0.75,1.2301048307916,0.25,0,1,1.02,0.734560376938765,1.02,0.450555213042752,0.0223958991957954,0.00576386390778455,6.44864000000001,20
"Cox",500,1000,0,10,0,0.07,NA,NA,0.0796389042897569,0.106505391419815,1,1.64636761259127,0.25,0,1.125,1.06,0.663642262541785,1,0.471559562571508,0.0231552976477814,0.00677699597038259,4.36650500000001,20
"Cox",500,1000,0,10,0,0.1,NA,NA,0.122601934585681,0.204944150777705,1.075,1.59995888105058,0.5,0,1,0.99,0.663245608234314,1.015,0.561740715614373,0.0259407202926026,0.0120147606920672,3.6369599999999,20
"Cox",500,1000,0,10,0,0.13,NA,NA,0.1375224904359,0.217450371377175,1.225,1.79527889638058,0.75,0,1.125,1.05,0.644409154105322,1.02,0.517432934886506,0.0263741505343892,0.0126865368034819,3.66536000000003,20
"Cox",500,1000,0,10,0,0.17,NA,NA,0.143041271038681,0.204081604343185,1.6,1.86801329872422,1,0,2.5,1.21,0.729022416809337,1.12,0.543478077803173,0.0269399310810296,0.0131951326355978,3.55832000000001,20
"Cox",500,1000,0,10,0,0.2,NA,NA,0.128660076847207,0.183125115252285,1.475,1.7050621226528,1.25,0.375,2,1.1,0.606109248446707,1.12,0.492148886329929,0.0261478536520452,0.0112672917286608,3.34576500000009,20
"LASSO-Cox",500,1000,0,10,0,0,NA,NA,0.078754717142092,0.0682055104435551,0.826785714285714,0.709026429508784,0.714285714285714,0,1.3125,0.977301587301587,0.309352302375767,0.950267857142857,0.238434163142906,0.0211696518902516,0.00382783208763168,64.9422851785714,20
"LASSO-Cox",500,1000,0,10,0,0.03,NA,NA,0.0635943667920064,0.0458705148945747,0.706845238095238,0.718774151661187,0.714285714285714,0,0.902777777777778,0.999246031746032,0.455121134621096,1.04473214285714,0.267023234503323,0.0201075152359378,0.000489759539157458,72.1215346825397,20
"LASSO-Cox",500,1000,0,10,0,0.07,NA,NA,0.0774753125036565,0.0607024877262861,1.04928989139515,0.933441077909765,1,0.5,1.30555555555556,0.927736006683375,0.374028932572232,0.921303258145363,0.207154219849227,0.0202523559302951,0.00165210979053018,79.7392079365079,19
"LASSO-Cox",500,1000,0,10,0,0.1,NA,NA,0.0954906630336593,0.099169024242272,1.08353174603175,1.06514932236165,0.669642857142857,0.375,1.5625,1.11373015873016,0.370611740083235,1.07643849206349,0.257713400995469,0.0217523694501172,0.00468913012657947,86.5071807142857,20
"LASSO-Cox",500,1000,0,10,0,0.13,NA,NA,0.0957373073082722,0.12295314717896,0.790178571428571,0.793894040365574,0.669642857142857,0,1.25,1.07718253968254,0.348708716875057,1.05828373015873,0.250310991897474,0.0219278097650749,0.0066927883963739,96.1358990674603,20
"LASSO-Cox",500,1000,0,10,0,0.17,NA,NA,0.0920118740534979,0.123185698265308,0.922916666666667,1.05256202264895,0.714285714285714,0,1.48809523809524,1.01680555555556,0.333372324245203,0.981656746031746,0.205604976139,0.0216824453649612,0.00648002231617669,97.8968049404762,20
"LASSO-Cox",500,1000,0,10,0,0.2,NA,NA,0.066217251958091,0.0735781847151983,0.64702380952381,0.754618146457296,0.25,0,1.3125,0.971011904761905,0.449398106143347,0.940714285714286,0.304429496428548,0.0208013124361545,0.00408292555580837,95.2789172619047,20
"LASSO-sNPDR",500,1000,0,10,0,0,NA,NA,0.0633319705254264,0.0558476975129547,0.725,1.00623058987491,0,0,1.125,3.715,2.17286495329626,6.4325,1.67459932364039,0.0215979612532452,0.00435802934527389,51.80799,20
"LASSO-sNPDR",500,1000,0,10,0,0.03,NA,NA,0.0849339874990104,0.146290630909825,1.05,1.46808145478878,0.5,0,1.75,2.265,1.54554538151288,5.7025,1.78329049792792,0.0218871496064125,0.00816851527951905,48.00071,20
"LASSO-sNPDR",500,1000,0,10,0,0.07,NA,NA,0.104465718168546,0.177854636603195,1.375,2.4488181897225,0.5,0,1.625,3.77,3.97797885734372,5.7475,2.53234211333054,0.0234874154185947,0.00942077501506968,33.54734,20
"LASSO-sNPDR",500,1000,0,10,0,0.1,NA,NA,0.112764324538731,0.19086107480877,1.375,1.78351368164968,0.75,0,2,3.305,3.43886073546091,5.7425,2.22428433197595,0.0242191983938598,0.0109705432157467,29.014505,20
"LASSO-sNPDR",500,1000,0,10,0,0.13,NA,NA,0.121541228531937,0.194904162381963,1.425,1.83012078980136,1,0,2.125,3.235,2.71841188157621,5.96,2.46008129946959,0.0262064467847823,0.0121771417522106,29.07519,20
"LASSO-sNPDR",500,1000,0,10,0,0.17,NA,NA,0.131039122818105,0.20831836156819,1.9,2.39846442103012,0.5,0,3,3.295,1.90993937627681,5.415,1.85763715226459,0.028190358325885,0.0151622508179542,27.6798600000002,20
"LASSO-sNPDR",500,1000,0,10,0,0.2,NA,NA,0.139323061563427,0.201191884433765,2.075,2.39668081883434,1,0,3.375,3.395,2.07528691738605,5.865,2.08724825144445,0.0279435590834873,0.0143956926356762,26.303815,20
"SVM",500,1000,0,10,0,0,NA,NA,0.10451085135545,0.145780475017401,1.45833333333333,2.07101622087672,0,0,2.125,1.15541666666667,0.941817155340445,1.10625,0.576202499279063,0.0248006913988459,0.00976952320776769,51.4338954166667,20
"SVM",500,1000,0,10,0,0.03,NA,NA,0.0660640435822978,0.0636402921310095,0.828947368421053,1.39870798081463,0,0,1.04166666666667,0.877694235588972,0.638498949584694,0.885651629072682,0.50786434161264,0.0213707943079543,0.00451426900778973,51.7607476190476,19
"SVM",500,1000,0,10,0,0.07,NA,NA,0.0784416923066729,0.0979102820619655,0.961309523809524,1.39255267744128,0.25,0,1.125,1.0309126984127,0.712903213974003,1.00388888888889,0.556306802007412,0.0234984001418211,0.0077391997855317,55.8303467460317,20
"SVM",500,1000,0,10,0,0.1,NA,NA,0.104352743390301,0.186195408256675,0.886111111111111,1.53722226977515,0.25,0,1,0.961666666666667,0.526027877716716,1.00222222222222,0.439502495038309,0.024978591294265,0.0102713473367445,57.4647327777778,20
"SVM",500,1000,0,10,0,0.13,NA,NA,0.126941883821788,0.219473198971637,1.05277777777778,1.68416496547374,0.5,0,0.666666666666667,1.01416666666667,0.539520715393933,1.13743055555556,0.485777135691285,0.0266793937944717,0.0134405256986027,58.2885747222222,20
"SVM",500,1000,0,10,0,0.17,NA,NA,0.131007419800901,0.234888410424746,1.07123015873016,1.52594918451635,0.25,0,1.59375,1.15732142857143,0.750651053376402,1.16297619047619,0.563444294602965,0.0273432993942216,0.0153451604870844,57.5149492857143,20
"SVM",500,1000,0,10,0,0.2,NA,NA,0.10534295997093,0.189732269264057,1.17212301587302,1.83130184272375,0,0,1.69642857142857,1.09204365079365,0.651242375852538,1.15071428571429,0.466163981299621,0.0259352718397982,0.0123444558059178,51.3631229563493,20
"sNPDR-absolute",500,1000,0,10,0,0,NA,NA,0.126401069594609,0.1816323837137,1.5,2.20644987539522,0.25,0,2.125,1.235,0.615822086405857,1.2275,0.497751523299898,0.0274547220048095,0.0139422401754196,196.664835,20
"sNPDR-absolute",500,1000,0,10,0,0.03,NA,NA,0.17359897395201,0.162991739592378,2.8,2.89918318805396,1.75,0.375,5,2.02,1.24672201772235,1.7075,0.696471369419485,0.0291383813299738,0.0112571303357855,186.6246,20
"sNPDR-absolute",500,1000,0,10,0,0.07,NA,NA,0.419268927412244,0.282529067540968,6.575,3.98442692174632,6.25,3.875,8,3.83,1.30509124504562,2.9425,0.671070433200413,0.0530173527941273,0.0245418762774155,108.146495,20
"sNPDR-absolute",500,1000,0,10,0,0.1,NA,NA,0.537763944388944,0.231256310654468,8.85,3.77352271547562,8,6.375,10,4.965,1.343708536692,3.725,0.725204145487034,0.0726971889092178,0.0274359133464094,76.30418,20
"sNPDR-absolute",500,1000,0,10,0,0.13,NA,NA,0.601001253132832,0.224972842353337,10.625,3.48634554557604,10.25,8.375,12.5,5.74,1.43798104079442,4.1775,0.639381897246329,0.0870909878225741,0.0289141012222986,75.5005349999999,20
"sNPDR-absolute",500,1000,0,10,0,0.17,NA,NA,0.656265442890443,0.234528412455262,12.275,4.52907275278285,13,7.5,15.25,6.23,1.33460027526479,4.48,0.749806992709317,0.10193926102358,0.03660804463816,74.60197,20
"sNPDR-absolute",500,1000,0,10,0,0.2,NA,NA,0.635367243867244,0.24318992133437,12.95,4.74868402823351,13.75,9,16.75,6.385,1.33348573690397,4.56,0.802725620030052,0.106990397572744,0.0415032572311411,68.244005,20
"sNPDR-signed",500,1000,0,10,0,0,NA,NA,0.0697710368872675,0.084222595129257,1,1.48678388335006,0,0,1.625,0.94,0.654056170129302,1.035,0.462572896104524,0.0230065003298067,0.00450063019393494,178.220845,20
"sNPDR-signed",500,1000,0,10,0,0.03,NA,NA,0.0844312009024015,0.0924088032426192,1.4,1.78148371042968,0.5,0,2,1.16,0.821039136191384,1.0675,0.536380412923907,0.0242291634288332,0.00482550628989944,186.91011,20
"sNPDR-signed",500,1000,0,10,0,0.07,NA,NA,0.140824970504584,0.157046631833286,1.6,1.59439808804385,1.5,0,2.625,1.3,0.835400943764193,1.2725,0.626492953713473,0.0279173139079255,0.0098448303426599,107.87596,20
"sNPDR-signed",500,1000,0,10,0,0.1,NA,NA,0.159498024341104,0.197642606043618,1.875,1.79087599852845,1.5,0,3.125,1.395,0.828743500411125,1.275,0.628804211851436,0.0285480701939354,0.0120748903948649,77.89099,20
"sNPDR-signed",500,1000,0,10,0,0.13,NA,NA,0.168883184863608,0.225223329001565,1.925,1.85865684384124,1.25,0.5,4,1.35,0.750789058608552,1.265,0.599583188556851,0.0291992787456377,0.0133610010450598,77.0222350000001,20
