"method","sim_id","fold","c_index","auprc","mrr","ef_at_1pct","ef_at_5pct","ef_at_10pct","precision_at_1pct","precision_at_5pct","precision_at_10pct","recall_at_1pct","recall_at_5pct","recall_at_10pct","mcc_at_1pct","mcc_at_5pct","mcc_at_10pct","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"sNPDR-signed",1,1,NA,0.0206900976458477,0.0909090909090909,0,2,3,0,0.02,0.03,0,0.1,0.3,-0.0101010101010101,0.0230571487955358,0.0670025210172808,10.745,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,1,NA,0.0105501604720905,0.025,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,23.78,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,1,NA,0.00919123459539165,0.032258064516129,0,20,10,0,0.2,0.1,0,1,1,-0.0101010101010101,0.438085827115181,0.301511344577764,241.615,200,1000,10,0,0,0,NA,NA
"Cox",1,1,NA,0.0193320283115005,0.0303030303030303,0,4,3,0,0.04,0.03,0,0.2,0.3,-0.0101010101010101,0.0691714463866075,0.0670025210172808,5.15800000000002,200,1000,10,0,0,0,NA,NA
"SVM",1,1,NA,0.0171347303761354,0.0285714285714286,0,2,2,0,0.02,0.02,0,0.1,0.2,-0.0101010101010101,0.0230571487955358,0.0335012605086404,53.656,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,1,NA,0.00981752468033329,0.00476190476190476,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,33.569,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,2,NA,0.0303892161946013,0.111111111111111,10,4,2,0.1,0.04,0.02,0.1,0.2,0.2,0.0909090909090909,0.0691714463866075,0.0335012605086404,5.79300000000001,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,2,NA,0.013717698762342,0.0588235294117647,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,5.065,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,2,NA,0.00861273447429503,0.0142857142857143,0,0,10,0,0,0.1,0,0,1,-0.0101010101010101,-0.0230571487955358,0.301511344577764,91.292,200,1000,10,0,0,0,NA,NA
"Cox",1,2,NA,0.0207138534636126,0.125,10,2,2,0.1,0.02,0.02,0.1,0.1,0.2,0.0909090909090909,0.0230571487955358,0.0335012605086404,7.42899999999997,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,2,NA,0.00994079409460529,0.0111111111111111,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,38.266,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,3,NA,0.0137012574835986,0.0588235294117647,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,7.9670000000001,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,3,NA,0.00919667771920676,0.0147058823529412,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,7.0150000000001,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,3,NA,0.00950299594250613,0.0625,0,20,10,0,0.2,0.1,0,1,1,-0.0101010101010101,0.438085827115181,0.301511344577764,71.412,200,1000,10,0,0,0,NA,NA
"Cox",1,3,NA,0.0162970124522301,0.0181818181818182,0,0,3,0,0,0.03,0,0,0.3,-0.0101010101010101,-0.0230571487955358,0.0670025210172808,3.35400000000004,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,3,NA,0.00989524925405074,0.00497512437810945,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,33.952,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,4,NA,0.0161019916874684,0.0384615384615385,0,4,3,0,0.04,0.03,0,0.2,0.3,-0.0101010101010101,0.0691714463866075,0.0670025210172808,9.82799999999997,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,4,NA,0.00872129309977593,0.0078740157480315,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,16.888,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,4,NA,0.01,1,100,20,10,1,0.2,0.1,1,1,1,1,0.438085827115181,0.301511344577764,118.667,200,1000,10,0,0,0,NA,NA
"Cox",1,4,NA,0.0228149355712435,0.166666666666667,10,2,1,0.1,0.02,0.01,0.1,0.1,0.1,0.0909090909090909,0.0230571487955358,0,15.678,200,1000,10,0,0,0,NA,NA
"SVM",1,4,NA,0.0124947003622127,0.0769230769230769,0,2,2,0,0.02,0.02,0,0.1,0.2,-0.0101010101010101,0.0230571487955358,0.0335012605086404,25.1180000000001,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,4,NA,0.00989524925405074,0.037037037037037,0,4,5,0,0.04,0.05,0,0.2,0.5,-0.0101010101010101,0.0691714463866075,0.134005042034562,38.395,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,5,NA,0.0153916853448385,0.0344827586206897,0,2,2,0,0.02,0.02,0,0.1,0.2,-0.0101010101010101,0.0230571487955358,0.0335012605086404,8.7679999999998,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,5,NA,0.0103233676753105,0.0114942528735632,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,7.82200000000012,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,5,NA,0.0096881248587651,0.111111111111111,20,20,10,0.2,0.2,0.1,0.2,1,1,0.191919191919192,0.438085827115181,0.301511344577764,79.127,200,1000,10,0,0,0,NA,NA
"Cox",1,5,NA,0.0165760083431186,0.0153846153846154,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,7.52699999999982,200,1000,10,0,0,0,NA,NA
"SVM",1,5,NA,0.0141651599888407,0.0103092783505155,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,29.008,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,5,NA,0.00994079409460529,0.0333333333333333,0,4,2,0,0.04,0.02,0,0.2,0.2,-0.0101010101010101,0.0691714463866075,0.0335012605086404,49.4000000000001,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,6,NA,0.0160880028775298,0.0769230769230769,0,2,2,0,0.02,0.02,0,0.1,0.2,-0.0101010101010101,0.0230571487955358,0.0335012605086404,5.21199999999999,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,6,NA,0.00878100982311107,0.0126582278481013,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,4.9670000000001,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,6,NA,0.0089108612573561,0.0208333333333333,0,6,10,0,0.06,0.1,0,0.3,1,-0.0101010101010101,0.115285743977679,0.301511344577764,61.8050000000001,200,1000,10,0,0,0,NA,NA
"Cox",1,6,NA,0.0156544638887447,0.027027027027027,0,2,2,0,0.02,0.02,0,0.1,0.2,-0.0101010101010101,0.0230571487955358,0.0335012605086404,5.32900000000018,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,6,NA,0.00994079409460529,0.0108695652173913,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,98.248,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,7,NA,0.0162567368020314,0.0625,0,2,3,0,0.02,0.03,0,0.1,0.3,-0.0101010101010101,0.0230571487955358,0.0670025210172808,7.14200000000005,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,7,NA,0.0133770978649296,0.0909090909090909,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,4.80200000000013,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,7,NA,0.00894110166372049,0.0217391304347826,0,10,10,0,0.1,0.1,0,0.5,1,-0.0101010101010101,0.207514339159822,0.301511344577764,82.5639999999999,200,1000,10,0,0,0,NA,NA
"Cox",1,7,NA,0.0148613491366577,0.0140845070422535,0,0,2,0,0,0.02,0,0,0.2,-0.0101010101010101,-0.0230571487955358,0.0335012605086404,4.66199999999981,200,1000,10,0,0,0,NA,NA
"SVM",1,7,NA,0.0136464020362546,0.0131578947368421,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,64.27,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,7,NA,0.00965913426372353,0.0196078431372549,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,52.4300000000001,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,8,NA,0.0238827505309583,0.0344827586206897,0,4,3,0,0.04,0.03,0,0.2,0.3,-0.0101010101010101,0.0691714463866075,0.0670025210172808,4.74900000000002,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,8,NA,0.0096421180012909,0.0277777777777778,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,5.41399999999999,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,8,NA,0.00974968548860037,0.142857142857143,40,20,10,0.4,0.2,0.1,0.4,1,1,0.393939393939394,0.438085827115181,0.301511344577764,104.6,200,1000,10,0,0,0,NA,NA
"Cox",1,8,NA,0.0350419577068947,0.166666666666667,10,4,3,0.1,0.04,0.03,0.1,0.2,0.3,0.0909090909090909,0.0691714463866075,0.0670025210172808,3.53700000000003,200,1000,10,0,0,0,NA,NA
"SVM",1,8,NA,0.014318459881075,0.0149253731343284,0,0,2,0,0,0.02,0,0,0.2,-0.0101010101010101,-0.0230571487955358,0.0335012605086404,56.1869999999999,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,8,NA,0.00989524925405074,0.0126582278481013,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,47.231,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,9,NA,0.0176755058882948,0.111111111111111,10,2,2,0.1,0.02,0.02,0.1,0.1,0.2,0.0909090909090909,0.0230571487955358,0.0335012605086404,5.07300000000009,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,9,NA,0.00965979441004133,0.0232558139534884,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,5.36699999999996,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,9,NA,0.00955217752792618,0.0714285714285714,0,20,10,0,0.2,0.1,0,1,1,-0.0101010101010101,0.438085827115181,0.301511344577764,111.555,200,1000,10,0,0,0,NA,NA
"Cox",1,9,NA,0.0141744368409138,0.0149253731343284,0,0,2,0,0,0.02,0,0,0.2,-0.0101010101010101,-0.0230571487955358,0.0335012605086404,7.07799999999997,200,1000,10,0,0,0,NA,NA
"SVM",1,9,NA,0.0124489816209566,0.0117647058823529,0,0,2,0,0,0.02,0,0,0.2,-0.0101010101010101,-0.0230571487955358,0.0335012605086404,58.1860000000001,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,9,NA,0.00989524925405074,0.00833333333333333,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,36.3380000000002,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",1,10,NA,0.0329120416845513,0.333333333333333,10,2,2,0.1,0.02,0.02,0.1,0.1,0.2,0.0909090909090909,0.0230571487955358,0.0335012605086404,7.17700000000013,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",1,10,NA,0.00978165056335548,0.0087719298245614,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,5.27999999999975,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",1,10,NA,0.0094561025439207,0.0555555555555556,0,20,10,0,0.2,0.1,0,1,1,-0.0101010101010101,0.438085827115181,0.301511344577764,83.634,200,1000,10,0,0,0,NA,NA
"Cox",1,10,NA,0.0140048337930031,0.0909090909090909,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,3.49499999999989,200,1000,10,0,0,0,NA,NA
"SVM",1,10,NA,0.0128229658386618,0.0769230769230769,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,52.5209999999997,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",1,10,NA,0.00994079409460529,0.0103092783505155,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,25.4169999999999,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",2,1,NA,0.00744750887453594,0.0078740157480315,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,12.298,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",2,1,NA,0.00782470320979814,0.0112359550561798,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,28.798,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",2,1,NA,0.01,1,100,20,10,1,0.2,0.1,1,1,1,1,0.438085827115181,0.301511344577764,151.766,200,1000,10,0,0,0,NA,NA
"Cox",2,1,NA,0.00795374675444681,0.00540540540540541,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,2.56999999999999,200,1000,10,0,0,0,NA,NA
"SVM",2,1,NA,0.0079941726786896,0.00917431192660551,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,8.47299999999998,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",2,1,NA,0.00985476561106648,0.05,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,7.24000000000001,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",2,2,NA,0.00927296157611893,0.0294117647058824,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,6.874,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",2,2,NA,0.00765506358208201,0.0178571428571429,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,10.054,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",2,2,NA,0.01,1,100,20,10,1,0.2,0.1,1,1,1,1,0.438085827115181,0.301511344577764,112.703,200,1000,10,0,0,0,NA,NA
"Cox",2,2,NA,0.0127570809421161,0.04,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,6.42400000000004,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",2,2,NA,0.00978266622728981,0.0232558139534884,0,4,3,0,0.04,0.03,0,0.2,0.3,-0.0101010101010101,0.0691714463866075,0.0670025210172808,46.137,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",2,3,NA,0.0105409844567257,0.0140845070422535,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,17.97,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",2,3,NA,0.00671293055093151,0.00769230769230769,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,13.949,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",2,3,NA,0.01,1,100,20,10,1,0.2,0.1,1,1,1,1,0.438085827115181,0.301511344577764,90.209,200,1000,10,0,0,0,NA,NA
"Cox",2,3,NA,0.0169986035118366,0.0204081632653061,0,2,2,0,0.02,0.02,0,0.1,0.2,-0.0101010101010101,0.0230571487955358,0.0335012605086404,6.75099999999998,200,1000,10,0,0,0,NA,NA
"SVM",2,3,NA,0.0170520585311415,0.0238095238095238,0,2,1,0,0.02,0.01,0,0.1,0.1,-0.0101010101010101,0.0230571487955358,0,34.975,200,1000,10,0,0,0,NA,NA
"LASSO-Cox",2,3,NA,0.01,0.0144927536231884,0,0,2,0,0,0.02,0,0,0.2,-0.0101010101010101,-0.0230571487955358,0.0335012605086404,18.7660000000001,200,1000,10,0,0,0,NA,NA
"sNPDR-signed",2,4,NA,0.00949975753210666,0.00917431192660551,0,0,0,0,0,0,0,0,0,-0.0101010101010101,-0.0230571487955358,-0.0335012605086404,4.81100000000004,200,1000,10,0,0,0,NA,NA
"sNPDR-absolute",2,4,NA,0.00786916235122348,0.0133333333333333,0,0,1,0,0,0.01,0,0,0.1,-0.0101010101010101,-0.0230571487955358,0,4.851,200,1000,10,0,0,0,NA,NA
"LASSO-sNPDR",2,4,NA,0.01,1,100,20,10,1,0.2,0.1,1,1,1,1,0.438085827115181,0.301511344577764,86.412,200,1000,10,0,0,0,NA,NA
