"method","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda","mean_mrr","sd_mrr","mean_ef_at_1pct","sd_ef_at_1pct","median_ef_at_1pct","q1_ef_at_1pct","q3_ef_at_1pct","mean_ef_at_5pct","sd_ef_at_5pct","mean_ef_at_10pct","sd_ef_at_10pct","mean_auprc","sd_auprc","mean_runtime","n_sims"
"Cox",200,1000,10,0,0,0,NA,NA,0.0319521856241847,0.0401066207553775,0.8,1.79472912484836,0,0,0,0.8,0.802627264871926,0.92,0.563448031508254,0.0126151964993003,0.00520730257505827,6.606775,20
"Cox",200,1000,10,0,0.07,0,NA,NA,0.9335,0.104994987349021,43.6,10.3078917135827,41,37.75,49.5,14.36,2.04228973664881,8.085,1.001722201222,0.408773655218778,0.136713273781464,7.249975,20
"Cox",200,1000,10,0,0.13,0,NA,NA,1,0,67.95,9.85406675332309,68,61.5,74,18.46,1.11845758454268,9.645,0.394001068660052,0.713630196966089,0.102215429859044,6.07039000000001,20
"Cox",200,1000,10,0,0.2,0,NA,NA,1,0,75.5,7.60539974381083,74.5,70,82,19.14,0.885199947677597,9.77,0.284882247142292,0.812229335785744,0.0801068930301053,6.41706999999998,20
"Cox",200,1000,10,0,0.27,0,NA,NA,1,0,77.1,7.44028861918959,76,71.5,82.25,19.24,0.806813093858208,9.845,0.243818310266175,0.839351497170051,0.0782757649822984,5.67515000000003,20
"Cox",200,1000,10,0,0.33,0,NA,NA,1,0,77.1,7.26853347982717,75.5,70.75,83.25,19.26,0.833761293618768,9.85,0.252357307257618,0.842947129305708,0.078817480399827,5.906945,20
"Cox",200,1000,10,0,0.4,0,NA,NA,1,0,77.8,7.28083280372441,77.5,72.5,82.25,19.23,0.915998161340375,9.825,0.273139640400098,0.849107775480572,0.078538127608271,6.00733499999996,20
"LASSO-Cox",200,1000,10,0,0,0,NA,NA,0.0410907077624451,0.0313547994937362,0.85,1.03998987849326,0.5,0,1.25,0.922222222222222,0.393877774321697,0.978333333333333,0.270644671131164,0.0102100168861833,0.00131752467216374,36.5058944444444,20
"LASSO-Cox",200,1000,10,0,0.07,0,NA,NA,0.896516276818633,0.139093920321957,42.0777777777778,17.3893643789034,44.5,30,51.5,10.3155555555556,4.13762337888202,5.36777777777778,1.97633793439512,0.397953064807469,0.196680854668294,41.5973272222222,20
"LASSO-Cox",200,1000,10,0,0.13,0,NA,NA,1,0,90.3055555555556,7.07987244886077,91.0555555555556,83.5,96.25,19.69,0.533015256027344,9.85,0.254434357163617,0.950219550364755,0.0495384277778106,42.5844605555556,20
"LASSO-Cox",200,1000,10,0,0.2,0,NA,NA,1,0,99.45,1.53811230854064,100,100,100,20,0,10,0,0.99929674608917,0.00203899460489063,39.975885,20
"LASSO-Cox",200,1000,10,0,0.27,0,NA,NA,1,0,100,0,100,100,100,20,0,10,0,1,0,37.8513,20
"LASSO-Cox",200,1000,10,0,0.33,0,NA,NA,1,0,100,0,100,100,100,20,0,10,0,1,0,30.557135,20
"LASSO-Cox",200,1000,10,0,0.4,0,NA,NA,1,0,100,0,100,100,100,20,0,10,0,1,0,30.2259822222222,20
"LASSO-sNPDR",200,1000,10,0,0,0,NA,NA,0.384210490979389,0.308961694172546,37.15,31.751129279544,21,13.25,63,18.41,2.00994893886439,9.96,0.178885438199983,0.0142403146228118,0.0105378565922712,104.684995,20
"LASSO-sNPDR",200,1000,10,0,0.07,0,NA,NA,0.429775379770994,0.31835785809462,43.5,31.5986342143221,31,19.5,69,17.81,2.51937753381559,9.955,0.201246117974981,0.0112043374851231,0.0033039343955026,92.66218,20
"LASSO-sNPDR",200,1000,10,0,0.13,0,NA,NA,0.455665465920779,0.300714437494112,45.3,32.4363344025444,45,16,68,18.27,1.97699932114037,9.85,0.370632460872805,0.0133857295668425,0.00847300833280219,72.43333,20
"LASSO-sNPDR",200,1000,10,0,0.2,0,NA,NA,0.441324847813622,0.313081777234013,45.8,33.3097109279751,48,15.25,70.25,17.46,2.6198433058808,9.79,0.448271534252458,0.0118140628316877,0.00468242528567503,61.37998,20
